16:31:51:040:273 Monitoring new COM ports...
16:33:12:549:400 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:12:855:042 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:13:160:599 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:13:466:969 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:13:772:350 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:14:078:379 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:14:384:109 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:14:689:744 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:14:994:962 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:15:299:718 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:15:604:817 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:15:910:125 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:16:215:084 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:16:521:430 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:16:826:830 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:17:132:459 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:17:437:680 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:17:742:937 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
